state,year,total_budget_crore,health_allocation_crore,health_allocation_pct,education_allocation_crore,education_allocation_pct,agriculture_allocation_crore,agriculture_allocation_pct,infrastructure_allocation_crore,infrastructure_allocation_pct,rural_dev_allocation_crore,rural_dev_allocation_pct,defence_allocation_crore,defence_allocation_pct,social_welfare_allocation_crore,social_welfare_allocation_pct,water_allocation_crore,water_allocation_pct,energy_allocation_crore,energy_allocation_pct,urban_allocation_crore,urban_allocation_pct,admin_allocation_crore,admin_allocation_pct
Andhra Pradesh,1995,38250,3924.45,10.26,8958.15,23.42,3285.68,8.59,4938.07,12.91,4230.45,11.06,749.7,1.96,2482.43,6.49,1136.03,2.97,2042.55,5.34,2444.18,6.39,4062.15,10.62
Andhra Pradesh,1996,38880,2328.91,5.99,7021.73,18.06,4436.21,11.41,5198.26,13.37,3771.36,9.7,1683.5,4.33,3549.74,9.13,1734.05,4.46,2966.54,7.63,3009.31,7.74,3172.61,8.16
Andhra Pradesh,1997,44177,4037.78,9.14,9555.49,21.63,5937.39,13.44,4713.69,10.67,3207.25,7.26,1055.83,2.39,4258.66,9.64,2040.98,4.62,2831.75,6.41,1926.12,4.36,4612.08,10.44
Andhra Pradesh,1998,49129,5708.79,11.62,9113.43,18.55,5448.41,11.09,5566.32,11.33,3350.6,6.82,1483.7,3.02,3610.98,7.35,1773.56,3.61,2815.09,5.73,4411.78,8.98,5856.18,11.92
Andhra Pradesh,1999,52039,5479.71,10.53,11141.55,21.41,5942.85,11.42,6218.66,11.95,3184.79,6.12,2003.5,3.85,3887.31,7.47,2419.81,4.65,4688.71,9.01,2284.51,4.39,4782.38,9.19
Andhra Pradesh,2000,56753,4863.73,8.57,7956.77,14.02,5391.53,9.5,7735.43,13.63,6049.87,10.66,2587.94,4.56,4097.57,7.22,2956.83,5.21,3734.35,6.58,4914.81,8.66,6464.17,11.39
Andhra Pradesh,2001,60103,4850.31,8.07,9460.21,15.74,5355.18,8.91,11629.93,19.35,5180.88,8.62,1875.21,3.12,6593.3,10.97,2927.02,4.87,4549.8,7.57,3431.88,5.71,4249.28,7.07
Andhra Pradesh,2002,62340,6003.34,9.63,11333.41,18.18,7617.95,12.22,7106.76,11.4,5722.81,9.18,2792.83,4.48,4569.52,7.33,3017.26,4.84,3316.49,5.32,5086.94,8.16,5778.92,9.27
Andhra Pradesh,2003,65939,4246.47,6.44,12112.99,18.37,7253.29,11.0,7154.38,10.85,8143.47,12.35,3059.57,4.64,5156.43,7.82,1918.82,2.91,5993.86,9.09,4081.62,6.19,6818.09,10.34
Andhra Pradesh,2004,74963,5022.52,6.7,14775.21,19.71,10232.45,13.65,8583.26,11.45,6694.2,8.93,1851.59,2.47,7428.83,9.91,3036.0,4.05,6484.3,8.65,5569.75,7.43,5269.9,7.03
Andhra Pradesh,2005,85817,6642.24,7.74,18176.04,21.18,8650.35,10.08,14726.2,17.16,6487.77,7.56,1922.3,2.24,7011.25,8.17,5054.62,5.89,6032.94,7.03,3630.06,4.23,7474.66,8.71
